City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Dunedin,NZ,2020-11-26 17:43:27,-45.87,170.5,54.0,83,70,14.0
116,Prince Rupert,CA,2020-11-26 17:41:07,54.32,-130.32,44.6,93,90,6.93
117,Evensk,RU,2020-11-26 17:43:28,61.95,159.23,1.29,85,100,8.95
118,Chokurdakh,RU,2020-11-26 17:43:29,70.63,147.92,9.79,95,100,15.82
119,Balykshi,KZ,2020-11-26 17:43:29,47.07,51.87,32.0,98,90,4.38
120,Henties Bay,NA,2020-11-26 17:43:29,-22.12,14.28,60.01,83,1,4.0
121,Asau,RO,2020-11-26 17:43:31,46.43,26.4,42.01,51,0,6.11
122,Puerto Ayora,EC,2020-11-26 17:43:31,-0.74,-90.35,77.0,73,75,11.41
123,Half Moon Bay,US,2020-11-26 17:43:31,37.46,-122.43,57.2,33,1,9.17
124,Butaritari,KI,2020-11-26 17:43:32,3.07,172.79,81.52,72,83,19.33
125,Port Macquarie,AU,2020-11-26 17:43:32,-31.43,152.92,61.0,100,3,4.7
126,East London,ZA,2020-11-26 17:43:32,-33.02,27.91,64.4,68,75,16.11
127,Caravelas,BR,2020-11-26 17:43:32,-17.71,-39.25,79.16,73,99,10.58
128,Victoria,HK,2020-11-26 17:40:45,22.29,114.16,73.0,85,0,11.18
129,Letka,RU,2020-11-26 17:43:34,59.6,49.42,14.65,97,63,4.05
130,Lamu,KE,2020-11-26 17:43:34,-2.27,40.9,82.4,78,20,5.82
131,Codrington,AU,2020-11-26 17:43:35,-38.27,141.97,47.37,91,100,9.73
132,Husavik,IS,2020-11-26 17:43:35,66.04,-17.34,32.0,88,75,21.92
133,Kavaratti,IN,2020-11-26 17:43:35,10.57,72.64,82.35,77,79,11.39
134,La Union,PE,2020-11-26 17:43:35,-5.4,-80.75,83.41,41,33,16.87
135,Morros,BR,2020-11-26 17:43:36,-9.45,-46.3,84.87,50,75,8.5
136,Senno,RU,2020-11-26 17:43:36,59.53,33.92,37.0,95,100,6.49
137,Aklavik,CA,2020-11-26 17:43:36,68.22,-135.01,1.4,84,90,4.7
138,Mar Del Plata,AR,2020-11-26 17:39:36,-38.0,-57.56,64.99,61,0,15.01
139,Porto Walter,BR,2020-11-26 17:43:37,-8.27,-72.74,86.02,69,99,3.15
140,Ternate,ID,2020-11-26 17:43:37,0.8,127.4,82.35,78,53,8.05
141,Fortuna,US,2020-11-26 17:43:37,40.6,-124.16,55.99,86,1,4.7
142,Cabedelo,BR,2020-11-26 17:43:02,-6.98,-34.83,87.8,58,40,14.99
143,Talikota,IN,2020-11-26 17:43:37,16.48,76.32,68.16,82,100,11.54
144,Georgetown,MY,2020-11-26 17:43:38,5.41,100.34,80.6,83,20,3.36
145,Matara,LK,2020-11-26 17:43:38,5.95,80.54,77.09,87,0,5.66
146,Bilma,NE,2020-11-26 17:43:38,18.69,12.92,69.04,24,0,6.31
147,Chuy,UY,2020-11-26 17:43:39,-33.7,-53.46,72.57,53,84,17.31
148,Hobart,AU,2020-11-26 17:43:39,-42.88,147.33,51.8,76,90,1.12
149,Airai,TL,2020-11-26 17:43:39,-8.93,125.41,62.33,100,99,1.14
150,Saint-Francois,FR,2020-11-26 17:43:40,46.42,3.91,48.2,81,0,3.36
151,Meulaboh,ID,2020-11-26 17:43:40,4.14,96.13,74.71,93,100,5.91
152,Urucara,BR,2020-11-26 17:41:36,-2.54,-57.76,91.42,51,47,5.1
153,Hobyo,SO,2020-11-26 17:43:40,5.35,48.53,81.32,78,15,17.85
154,Saskylakh,RU,2020-11-26 17:43:41,71.92,114.08,6.3,93,84,10.27
155,Krasnoselkup,RU,2020-11-26 17:43:41,65.7,82.47,12.72,96,100,12.26
156,Katherine,AU,2020-11-26 17:43:41,-14.47,132.27,86.0,62,68,10.29
157,Korla,CN,2020-11-26 17:40:31,41.76,86.15,23.05,81,73,5.39
158,Thunder Bay,CA,2020-11-26 17:40:48,48.4,-89.32,35.01,80,90,9.17
159,Geraldton,AU,2020-11-26 17:43:42,-28.77,114.6,66.2,63,7,17.22
160,Kalamare,BW,2020-11-26 17:43:43,-22.93,26.57,80.62,43,41,7.58
161,Eyl,SO,2020-11-26 17:43:43,7.98,49.82,77.18,76,57,19.75
162,Mama,RU,2020-11-26 17:43:43,58.31,112.9,7.32,88,100,4.18
163,Saint-Pierre,RE,2020-11-26 17:43:43,-21.34,55.48,77.0,69,48,12.75
164,Ponta Delgada,PT,2020-11-26 17:43:44,37.73,-25.67,57.2,71,75,12.75
165,Port Lincoln,AU,2020-11-26 17:43:44,-34.73,135.87,64.99,71,73,9.01
166,Rancho Palos Verdes,US,2020-11-26 17:42:13,33.74,-118.39,60.01,87,40,3.15
167,Arua,UG,2020-11-26 17:43:44,3.02,30.91,67.15,83,85,2.53
168,Vila Franca Do Campo,PT,2020-11-26 17:43:45,37.72,-25.43,57.2,71,75,12.75
169,Olinda,BR,2020-11-26 17:43:45,-8.01,-34.86,82.4,58,40,13.87
